Name,Artist,Album,Genre,Song Length,Release Year,Date Added,Play Count,Skip Count,Rating
Amiga-ish,Barry Leitch,Rush 2: Extreme Racing USA,Game,10:02,1998,11/13/2023,1,1,5
Doin' Tyme,Barry Leitch,Rush 2: Extreme Racing USA,Game,06:54,1998,11/13/2023,1,1,5
Drumsnhula,Barry Leitch,Rush 2: Extreme Racing USA,Game,05:02,1998,11/13/2023,0,1,5
Headthumpin,Barry Leitch,Rush 2: Extreme Racing USA,Game,05:35,1998,11/13/2023,1,0,5
High Roll,Barry Leitch,Rush 2: Extreme Racing USA,Game,07:42,1998,11/13/2023,0,0,5
Low Rydin',Barry Leitch,Rush 2: Extreme Racing USA,Game,05:23,1998,11/13/2023,1,0,5
Menu,Barry Leitch,Rush 2: Extreme Racing USA,Game,02:44,1998,11/13/2023,1,1,5
Tinkletoon,Barry Leitch,Rush 2: Extreme Racing USA,Game,05:58,1998,11/13/2023,1,1,5
Title,Barry Leitch,Rush 2: Extreme Racing USA,Game,05:21,1998,11/13/2023,0,1,5
Tournament Ending (Failure),Barry Leitch,Rush 2: Extreme Racing USA,Game,01:34,1998,11/13/2023,2,1,5
Tournament Ending (Success),Barry Leitch,Rush 2: Extreme Racing USA,Game,02:07,1998,11/13/2023,1,0,5
Diddy Kong Racing Theme,David Wise,Diddy Kong Racing Original Soundtrack,Game,01:11,1998,11/13/2023,1,0,5
Character Select,David Wise,Diddy Kong Racing Original Soundtrack,Game,01:31,1998,11/13/2023,0,1,4
Central Area Introduction,David Wise,Diddy Kong Racing Original Soundtrack,Game,01:05,1998,11/13/2023,0,0,4
Central Area Themes,David Wise,Diddy Kong Racing Original Soundtrack,Game,02:37,1998,11/13/2023,0,0,4
Lobby Theme Tune,David Wise,Diddy Kong Racing Original Soundtrack,Game,01:53,1998,11/13/2023,1,1,4
T.T.'s Theme,David Wise,Diddy Kong Racing Original Soundtrack,Game,01:26,1998,11/13/2023,0,1,4
Ancient Lake,David Wise,Diddy Kong Racing Original Soundtrack,Game,02:31,1998,11/13/2023,1,0,4
Fossil Canyon,David Wise,Diddy Kong Racing Original Soundtrack,Game,02:45,1998,11/13/2023,1,0,4
Jungle Falls,David Wise,Diddy Kong Racing Original Soundtrack,Game,02:19,1998,11/13/2023,0,0,4
Hot Top Volcano,David Wise,Diddy Kong Racing Original Soundtrack,Game,03:12,1998,11/13/2023,2,1,4
No Entry,David Wise,Diddy Kong Racing Original Soundtrack,Game,00:06,1998,11/13/2023,0,0,4
Win the Golden Balloon,David Wise,Diddy Kong Racing Original Soundtrack,Game,00:19,1998,11/13/2023,0,0,4
Boss Challenge 2,David Wise,Diddy Kong Racing Original Soundtrack,Game,02:34,1998,11/13/2023,0,0,4
Everfrost Peak,David Wise,Diddy Kong Racing Original Soundtrack,Game,03:15,1998,11/13/2023,0,0,4
Walrus Cove,David Wise,Diddy Kong Racing Original Soundtrack,Game,02:51,1998,11/13/2023,0,0,4
Frosty Village,David Wise,Diddy Kong Racing Original Soundtrack,Game,03:36,1998,11/13/2023,0,0,4
Taj's Theme,David Wise,Diddy Kong Racing Original Soundtrack,Game,01:29,1998,11/13/2023,0,1,4
Taj's Challenge,David Wise,Diddy Kong Racing Original Soundtrack,Game,02:45,1998,11/13/2023,3,1,4
Whale Bay,David Wise,Diddy Kong Racing Original Soundtrack,Game,03:33,1998,11/13/2023,1,0,4
Pirate Lagoon,David Wise,Diddy Kong Racing Original Soundtrack,Game,02:34,1998,11/13/2023,0,0,4
Crescent Island,David Wise,Diddy Kong Racing Original Soundtrack,Game,03:03,1998,11/13/2023,0,0,4
Open Boss Door,David Wise,Diddy Kong Racing Original Soundtrack,Game,00:35,1998,11/13/2023,0,0,4
Meet a Boss,David Wise,Diddy Kong Racing Original Soundtrack,Game,00:46,1998,11/13/2023,2,1,4
